schlcode,c_size,c_boys,c_girls,c_numcl,c_pik,c_status,c_leom,c_tip,c_num5rd,c_type,flgrm5,mrkgrm5,ngrm5,flmth5,mrkmth5,nmth5,towncode,popcode,tip_a,grade,classid,classize,_type_,_freq_,cohsize,mathsize,avgmath,passmath,verbsize,avgverb,passverb,studchk,misskov2,missagg,nmiss_k,nmiss_a,classct,math_n,flmath_n,nmath_n,verb_n,flverb_n,nverb_n,impute,nverb_m,nmath_m,tip_s,townid,tipuach
41208,92,42,50,16,2,1,1,1,4,3,17.719999,82,79,27.5,73,80,84004,12,7,5,3,28,0,3,82,27,74.889999,22.200001,27,82.699997,14.8,1,0,0,0,0,3,72.475128,27.51125,80,82.137215,17.729115,79,0,,,7,84004,7
41210,80,33,47,18,1,1,1,4,2,2,30.67,70,75,16.219999,69,74,85001,11,19,5,2,40,0,2,80,38,64.209999,26.299999,38,63.740002,44.700001,1,0,0,1,0,2,64.209999,26.299999,38,63.740002,44.700001,38,0,,,19,85001,19
41210,80,33,47,18,1,1,1,4,2,2,30.67,70,75,16.219999,69,74,85001,11,19,5,1,40,0,2,80,36,74.056114,5.5799999,37,76.429192,16.260811,,1,0,1,0,2,64.209999,26.299999,38,63.740002,44.700001,38,1,37,36,19,85001,19
41212,96,47,49,27,1,1,1,3,3,3,36.84,69,95,22.110001,67,95,85001,11,12,5,1,32,0,3,96,32,69.589996,28.1,32,64.720001,40.599998,1,0,0,1,0,3,67.235001,23.450001,64,68.175003,37.5,64,0,,,12,85001,12
41212,96,47,49,27,1,1,1,3,3,3,36.84,69,95,22.110001,67,95,85001,11,12,5,3,33,0,3,96,32,64.879997,18.799999,32,71.629997,34.400002,1,0,0,1,0,3,67.235001,23.450001,64,68.175003,37.5,64,0,,,12,85001,12
41212,96,47,49,27,1,1,1,3,3,3,36.84,69,95,22.110001,67,95,85001,11,12,5,2,31,0,3,96,31,66.514839,19.343548,31,70.703224,35.477421,,1,0,1,0,3,67.235001,23.450001,64,68.175003,37.5,64,1,31,31,12,85001,12
41214,21,11,10,8,2,1,1,7,1,1,58.82,59,17,47.060001,54,17,85001,12,41,5,1,21,0,1,21,17,53.709999,47.099998,17,59.290001,58.799999,1,0,0,0,0,1,53.709999,47.099998,17,59.290001,58.799999,17,0,,,41,85001,41
41217,49,26,23,15,2,1,1,6,2,2,35.560001,67,45,35.560001,62,45,85001,12,46,5,1,23,0,2,49,22,60.41,45.5,22,62.360001,36.400002,1,0,0,1,0,2,60.41,45.5,22,62.360001,36.400002,22,0,,,46,85001,46
41217,49,26,23,15,2,1,1,6,2,2,35.560001,67,45,35.560001,62,45,85001,12,46,5,2,26,0,2,49,23,63.52087,26.052174,23,71.438263,34.756523,,1,0,1,0,2,60.41,45.5,22,62.360001,36.400002,22,1,23,23,46,85001,46
41218,28,20,8,6,1,1,1,1,1,1,19.23,74,26,18.52,70,27,1842,11,2,5,1,28,0,1,28,27,69.849998,18.5,26,73.879997,19.200001,1,0,0,0,0,1,69.849998,18.5,27,73.879997,19.200001,26,0,,,2,1842,2
41220,125,66,59,21,1,1,1,1,4,3,24.75,79,101,33.98,66,103,87007,11,3,5,1,38,0,3,113,35,66.370003,25.700001,34,78.18,29.4,1,0,0,1,0,3,65.609444,31.918056,72,78.169579,29.556337,71,0,,,3,87007,3
41220,125,66,59,21,1,1,1,1,4,3,24.75,79,101,33.98,66,103,87007,11,3,5,3,40,0,3,113,37,64.889999,37.799999,37,78.160004,29.700001,1,0,0,1,0,3,65.609444,31.918056,72,78.169579,29.556337,71,0,,,3,87007,3
41220,125,66,59,21,1,1,1,1,4,3,24.75,79,101,33.98,66,103,87007,11,3,5,2,35,0,3,113,31,66.907097,38.769032,30,80.965332,13.375,,1,0,1,0,3,65.609444,31.918056,72,78.169579,29.556337,71,1,30,31,3,87007,3
41221,155,82,73,29,1,1,1,1,5,4,18.98,81,137,10.95,77,137,87007,11,5,5,1,35,0,4,144,33,78.150002,6.0999999,33,80.970001,18.200001,1,0,0,1,0,4,77.587059,10.785295,102,80.19696,18.640196,102,0,,,5,87007,5
41221,155,82,73,29,1,1,1,1,5,4,18.98,81,137,10.95,77,137,87007,11,5,5,3,37,0,4,144,35,76.830002,11.4,35,77.260002,25.700001,1,0,0,1,0,4,77.587059,10.785295,102,80.19696,18.640196,102,0,,,5,87007,5
41221,155,82,73,29,1,1,1,1,5,4,18.98,81,137,10.95,77,137,87007,11,5,5,4,36,0,4,144,34,77.82,14.7,34,82.470001,11.8,1,0,0,1,0,4,77.587059,10.785295,102,80.19696,18.640196,102,0,,,5,87007,5
41221,155,82,73,29,1,1,1,1,5,4,18.98,81,137,10.95,77,137,87007,11,5,5,2,36,0,4,144,35,75.289146,11.43,35,83.340286,19.970285,,1,0,1,0,4,77.587059,10.785295,102,80.19696,18.640196,102,1,35,35,5,87007,5
41225,135,73,62,28,2,1,1,1,5,4,13.91,81,115,10.43,78,115,87007,12,8,5,1,32,0,4,124,30,80,13.3,30,79.870003,10,1,0,0,1,0,4,78.76091,10.202272,88,81.306816,13.625,88,0,,,8,87007,8
41225,135,73,62,28,2,1,1,1,5,4,13.91,81,115,10.43,78,115,87007,12,8,5,3,31,0,4,124,29,81.029999,13.8,29,83.760002,6.9000001,1,0,0,1,0,4,78.76091,10.202272,88,81.306816,13.625,88,0,,,8,87007,8
41225,135,73,62,28,2,1,1,1,5,4,13.91,81,115,10.43,78,115,87007,12,8,5,4,29,0,4,124,29,75.209999,3.4000001,29,80.339996,24.1,1,0,0,1,0,4,78.76091,10.202272,88,81.306816,13.625,88,0,,,8,87007,8
41225,135,73,62,28,2,1,1,1,5,4,13.91,81,115,10.43,78,115,87007,12,8,5,2,32,0,4,124,27,75.519997,11.172222,27,80,14.838889,,1,0,1,0,4,78.76091,10.202272,88,81.306816,13.625,88,1,27,27,8,87007,8
41227,36,15,21,9,1,1,1,1,1,1,,,,,,,,,,5,1,36,0,1,36,35,64.089996,31.4,35,77.660004,22.9,1,0,1,0,1,1,64.089996,31.4,35,77.660004,22.9,35,0,,,2,2675,2
41232,19,9,10,6,1,1,1,,1,1,5.2600002,80,19,26.32,64,19,2329,11,0,5,1,19,0,1,19,19,64.32,26.299999,19,79.949997,5.3000002,1,0,0,0,0,1,64.32,26.299999,19,79.949997,5.3000002,19,0,,,0,2329,0
41234,101,56,45,22,1,1,1,2,3,3,21.65,77,97,30.93,65,97,1545,11,5,5,1,34,0,3,101,33,61.450001,42.400002,33,74.580002,36.400002,1,0,0,0,0,3,65.176498,30.909279,97,76.960617,21.639175,97,0,,,5,7674,5
41234,101,56,45,22,1,1,1,2,3,3,21.65,77,97,30.93,65,97,1545,11,5,5,2,32,0,3,101,29,62.279999,31,29,78.209999,17.200001,1,0,0,0,0,3,65.176498,30.909279,97,76.960617,21.639175,97,0,,,5,7674,5
